timestamp,symbol,price
2026-01-17T14:40:52.919758,AAPL,146.66
2026-01-17T14:40:52.930309,AAPL,145.2
2026-01-17T14:40:52.940440,AAPL,143.59
2026-01-17T14:40:52.950977,AAPL,143.4
2026-01-17T14:40:52.961505,AAPL,146.83
2026-01-17T14:40:52.971999,AAPL,145.21
2026-01-17T14:40:52.982137,AAPL,142.18
2026-01-17T14:40:52.992247,AAPL,144.94
2026-01-17T14:40:53.002564,AAPL,144.63
2026-01-17T14:40:53.013127,AAPL,143.26
2026-01-17T14:40:53.023380,AAPL,144.17
2026-01-17T14:40:53.033556,AAPL,142.07
2026-01-17T14:40:53.043817,AAPL,135.85
2026-01-17T14:40:53.054581,AAPL,136.12
2026-01-17T14:40:53.064892,AAPL,136.39
2026-01-17T14:40:53.074986,AAPL,139.11
2026-01-17T14:40:53.085202,AAPL,136.52
2026-01-17T14:40:53.095811,AAPL,137.18
2026-01-17T14:40:53.105936,AAPL,134.44
2026-01-17T14:40:53.116423,AAPL,138.68
2026-01-17T14:40:53.126711,AAPL,138.83
2026-01-17T14:40:53.137026,AAPL,143.03
2026-01-17T14:40:53.147614,AAPL,144.9
2026-01-17T14:40:53.157691,AAPL,146.72
2026-01-17T14:40:53.167899,AAPL,147.11
2026-01-17T14:40:53.178161,AAPL,143.6
2026-01-17T14:40:53.188276,AAPL,140.15
2026-01-17T14:40:53.198365,AAPL,140.5
2026-01-17T14:40:53.208529,AAPL,141.55
2026-01-17T14:40:53.218983,AAPL,143.84
2026-01-17T14:40:53.229504,AAPL,143.77
2026-01-17T14:40:53.239677,AAPL,145.2
2026-01-17T14:40:53.250170,AAPL,143.87
2026-01-17T14:40:53.260702,AAPL,144.86
2026-01-17T14:40:53.271229,AAPL,144.88
2026-01-17T14:40:53.281496,AAPL,144.97
2026-01-17T14:40:53.291617,AAPL,141.96
2026-01-17T14:40:53.301853,AAPL,140.83
2026-01-17T14:40:53.311996,AAPL,138.7
2026-01-17T14:40:53.322468,AAPL,141.41
